STDR_DE,NODE_ID,STTN_NO,STTN_NM,CRDNT_X,CRDNT_Y,STTN_TY,
20240101,100900015,1523,경희궁자이2.3단지,126.9640686,37.56878711,5,
20240101,100900013,1524,창신쌍용2단지.한성대후문,127.0127581,37.5812648,5,
20240101,100900045,1525,통일부,126.9859477,37.58759481,5,
20240101,100900011,1526,원서고개,126.9878088,37.58308055,5,
20240101,100900185,1527,구기동,126.9591856,37.60697999,5,
20240101,100900009,1528,종로5가입구.혜화경찰서,126.9976709,37.57179285,5,
20240101,100900007,1529,삼청파출소,126.981251,37.58181366,5,
20240101,100900005,1530,오거리.한옥마을입구,126.9696089,37.57940462,5,
20240101,100900046,1531,명륜시장.성대후문,126.9952543,37.58851105,5,
20240101,100900003,1532,혜화초등학교,126.9998517,37.58725323,5,
20240101,100900072,1533,청련사입구,126.9624312,37.60798038,5,
20240101,100900071,1534,영천시장,126.9627389,37.57008186,5,
20240101,100900070,1535,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621,5,
20240101,100900069,1536,감사원,126.9852901,37.58621065,5,
20240101,100900068,1537,중앙중고,126.9869653,37.58309218,5,
20240101,100900067,1538,인왕빌딩,126.9577443,37.60792833,5,
20240101,100900066,1539,종로4가.종묘공원,126.9946203,37.57068903,5,
20240101,100900174,1540,국립민속박물관,126.9795534,37.57925518,5,
20240101,100900065,1541,광화문새마을금고,126.9711466,37.57936877,5,
20240101,100900064,1542,새마을금고,126.9965181,37.58773706,5,
20240101,100900063,1543,혜화우체국,127.0006137,37.58603766,5,
20240101,100900062,1544,언덕앞,126.9637922,37.60895398,5,
20240101,100900061,1545,경희궁자이4단지,126.9621148,37.57070222,5,
20240101,100900060,1546,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439,5,
20240101,100900059,1547,사우디대사관앞.경남빌라,126.9850312,37.58410567,5,
20240101,100900058,1548,안국선원.삼거리,126.9849941,37.58279098,5,
20240101,100900182,1549,구기터널입구,126.9567769,37.60820461,5,
20240101,100900057,1550,종로3가.1.3.5호선,126.9920932,37.57108758,5,
20240101,100900056,1551,경복궁,126.9793378,37.57695016,5,
20240101,100900055,1552,경복궁역,126.9722765,37.57667748,5,
20240101,100900054,1553,소나무집,126.9641105,37.61127707,5,
20240101,100900186,1554,독립문역3번출구,126.9597453,37.57287848,5,
20240101,100900053,1555,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895,5,
20240101,100900052,1556,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973,5,
20240101,100900217,1557,종로1.2.3.4가동주민센터,126.9911314,37.57438371,5,
20240101,100900051,1558,창덕궁,126.99062,37.57608925,5,
20240101,100900175,1559,세종문화회관,126.976444,37.57265888,5,
20240101,100900193,1560,혜화역3번출구,127.0019214,37.58121591,5,
20240101,100900050,1561,아름다운실버,126.9654637,37.61201006,5,
20240101,100900049,1562,독립문초등학교,126.9607207,37.57384748,5,
20240101,100900206,1563,종로센트레빌아파트,127.0156927,37.58035344,5,
20240101,100900048,1564,가회동주민센터,126.9849543,37.57997294,5,
20240101,100900097,1565,구기빌라,126.9579797,37.60626861,5,
20240101,100900096,1566,원남로터리,126.9975115,37.57623737,5,
20240101,100900095,1567,보현산신각,126.9657791,37.61348252,5,
20240101,100900094,1568,천사유치원,126.9618604,37.57464802,5,
20240101,100900093,1569,쌍용아파트입구.창신역,127.0149636,37.58051123,5,
20240101,100900092,1570,아름다운가게.정독도서관,126.9851272,37.57894808,5,
20240101,100900091,1571,산정빌라,126.9574922,37.60515199,5,
20240101,100900090,1572,이화사거리,127.0020915,37.57650956,5,
20240101,100900089,1573,박종화고택입구,126.9676873,37.61431026,5,
20240101,100900088,1574,무악현대아파트후문,126.962001,37.57630608,5,
20240101,100900087,1575,이수아파트,127.0151896,37.57835399,5,
20240101,100900086,1576,헌법재판소.안국역,126.9858152,37.5773872,5,
20240101,100900184,1577,청구빌라,126.956984,37.60461026,5,
20240101,100900085,1578,서울대어린이병원응급실.갑상선센터,126.999503,37.57811888,5,
20240101,100900084,1579,서울사대초.중교,127.0024795,37.57756738,5,
20240101,100900083,1580,화인빌라,126.9685386,37.61293453,5,
20240101,100900082,1581,넓은마당,126.962888,37.57527281,5,
20240101,100900207,1582,창신초등학교,127.0153886,37.5769032,5,
20240101,100900081,1583,수운회관,126.9866693,37.57521894,5,
20240101,100900080,1584,상명대후문,126.9573354,37.60402558,5,
20240101,100900194,1585,혜화역2번출구,127.0022566,37.58114832,5,
20240101,100900079,1586,힐탑,126.9690206,37.61160556,5,
20240101,100900187,1587,신학대학교총회본부,126.9634446,37.57397631,5,
20240101,100900208,1588,구민회관.동묘역,127.0155759,37.57404762,5,
20240101,100900078,1589,낙원상가,126.9874149,37.57375637,5,
20240101,100900077,1590,완성빌라,126.9575011,37.60340209,5,
20240101,100900076,1591,서울대병원장례식장,126.997431,37.5805554,5,
20240101,100900075,1592,혜화역1번출구,127.0018454,37.58348551,5,
20240101,100900074,1593,감나무골공원,126.9699479,37.61240596,5,
20240101,100900073,1594,한국사회과학자료원,126.9641433,37.57363321,5,
20240101,100900205,1595,동묘역,127.0142454,37.57269435,5,
20240101,100900121,1596,금강제화,126.9875484,37.57057137,5,
20240101,100900120,1597,경진빌라,126.9578304,37.60200372,5,
20240101,100900198,1598,성균관대학교앞,126.9993359,37.58325978,5,
20240101,100900176,1599,KT광화문지사,126.9773972,37.57192021,5,
20240101,100900196,1600,혜화로터리,127.0006454,37.58546186,5,
20240101,100000416,1601,청와대,126.9737681,37.5829713,0,
20240101,100000417,1602,춘추문,126.9796554,37.58312761,0,
20240101,100000418,1603,경복궁.국립민속박물관,126.9795911,37.57941352,0,
20240101,100000420,1604,효자로입구(가상),126.9744666,37.57628833,6,
20240101,100900119,1607,EN갤러리,126.9706087,37.6134218,5,
20240101,100900001,1611,창경궁,126.9965264,37.57879284,0,
20240101,100900218,1615,성균관대정문,126.9966204,37.58495635,5,
20240101,100900219,1616,600주년기념관,126.9939426,37.5873281,5,
20240101,100900220,1617,성균관대운동장,126.9923688,37.5878641,5,
20240101,100900221,1618,학생회관,126.9937417,37.58744522,5,
20240101,100000361,1622,광화문,126.9754261,37.56993441,0,
20240101,100000240,1647,이북오도청,126.9560835,37.61246199,0,
20240101,100000241,1648,독립문역,126.9567051,37.57564285,0,
20240101,100900118,1667,종로문화센터,126.9646262,37.57464708,5,
20240101,100900117,1682,동대문역.2번출구,127.0117218,37.57204945,5,
20240101,100900116,1683,종각역YMCA,126.9850893,37.57039764,5,
20240101,100900115,1684,서교빌라,126.9571554,37.60198906,5,
20240101,100900177,1685,경복궁역,126.9724733,37.57707221,5,
20240101,100900195,1686,연건동,127.000745,37.57612566,5,
20240101,100900199,1697,성대입구,126.998853,37.5832668,5,
20240101,100900114,1698,무애사,126.9718458,37.61390043,5,
20240101,100900113,1699,단군성전앞,126.9653175,37.57556009,5,
20240101,100900192,1702,동대문종합시장,127.004958,37.57121613,5,
20240101,100900112,1714,상명초등학교,126.9567154,37.60092381,5,
20240101,100900179,1720,법련사,126.9796651,37.57658798,5,
20240101,100900111,1721,광화문새마을금고,126.9710277,37.57949309,5,
20240101,100900110,1722,성균관대학교,126.9971922,37.58516359,5,
20240101,100900109,1723,참샘골공원,126.9742525,37.6146097,5,
20240101,100900108,1724,활터앞,126.9653294,37.57681261,5,
20240101,100900107,1725,종로5가.3번출구,127.0020898,37.57141925,5,
20240101,100900106,1727,인사동들머리.3.1독립선언터,126.983297,37.57194702,5,
20240101,100900105,1728,정독도서관,126.9800805,37.58026054,5,
20240101,100900104,1729,오거리.한옥마을입구,126.9697393,37.57946844,5,
20240101,100900190,1730,종로4가.혜화경찰서,126.9974822,37.57263391,5,
20240101,100900103,1732,평창공원지킴터입구,126.9757439,37.6163964,5,
20240101,100000360,1733,창경궁.고궁호텔.메이플레이스호텔,126.9974492,37.57655816,0,
20240101,100000359,1734,창경궁,126.9964709,37.57907668,0,
20240101,100000328,1761,경희궁,126.9723537,37.5699058,4,
20240101,100000329,1762,광화문,126.9755695,37.57033749,4,
20240101,100000330,1763,종로1가,126.980129,37.57037,4,
20240101,100000331,1764,종로1가,126.9808261,37.56995433,4,
20240101,100000332,1765,종로2가,126.9850973,37.57035413,4,
20240101,100000333,1766,종로2가,126.9864618,37.57008246,4,
20240101,100000334,1767,종로3가,126.9932082,37.5706349,0,
20240101,100000335,1768,종로3가,126.9909932,37.57010243,3,
20240101,100000336,1769,종로4가,126.9962507,37.57046926,4,
20240101,100000337,1770,동대문종합시장종로6가,127.0050242,37.57121641,3,
20240101,100000338,1771,동대문종합시장종로6가,127.0032912,37.5708648,4,
20240101,100000339,1772,동대문역,127.0145771,37.57285921,3,
20240101,100000340,1773,동대문역,127.0150378,37.57266691,4,
20240101,100000341,1774,신설동전철역,127.0203865,37.57461998,4,
20240101,100000342,1775,신설동전철역,127.0211178,37.57449821,4,
20240101,100900102,1776,종로도서관,126.9671252,37.57648423,5,
20240101,100000343,1777,경복궁역,126.9715056,37.57617809,0,
20240101,100000344,1778,경복궁역,126.971682,37.57581917,0,
20240101,100000345,1779,안국역,126.9852296,37.57661375,0,
20240101,100000346,1780,안국역,126.985506,37.57631851,0,
20240101,100000347,1781,창덕궁,126.9889001,37.57752042,0,
20240101,100000348,1782,성대입구,126.9992358,37.5832828,0,
20240101,100000352,1786,효자로,126.9739005,37.58163295,0,
20240101,100000356,1789,창덕궁,126.9903719,37.57756161,0,
20240101,100900101,1790,종로사우나,126.9877504,37.57380111,5,
20240101,100900180,1791,엄마분식,126.9557163,37.60124243,5,
20240101,100900100,1792,삼청파출소,126.9813258,37.58164517,5,
20240101,100900099,1793,통인시장.종로구보건소,126.9687505,37.58033503,5,
20240101,100900191,1794,종로5가역,127.0000249,37.57067136,5,
20240101,100900098,1795,평창동산림제3초소,126.9771031,37.61735605,5,
20240101,100900145,1796,배화여중고,126.9676986,37.57677876,5,
20240101,100900143,1797,대학로입구.이화사거리,127.0025802,37.57598417,5,
20240101,100900144,1798,운현궁,126.9869814,37.57527161,5,
20240101,100900142,1799,상명대입구,126.9569583,37.60002101,5,
20240101,100900141,1800,삼청동주민센터,126.9822105,37.58468468,5,
20240101,100900140,1801,박노수미술관,126.9668945,37.58102656,5,
20240101,100900139,1802,김창열.윤명로화실,126.9783685,37.616305,5,
20240101,100900138,1803,사직공원.경복궁역입구,126.9689039,37.57622069,5,
20240101,100900137,1804,충신시장,127.0054049,37.57497665,5,
20240101,100900189,1805,안국역2번출구앞,126.9861183,37.57717282,5,
20240101,100900136,1806,안풍주유소,126.9591581,37.59928741,5,
20240101,100900135,1807,금융연수원,126.9818479,37.58587767,5,
20240101,100900134,1809,감람산기도원,126.979873,37.61594393,5,
20240101,100900133,1810,카센터.터널앞,126.9660437,37.57424057,5,
20240101,100900132,1811,동대문역5번출구,127.0117987,37.57172324,5,
20240101,100900131,1812,재동초등학교,126.9853617,37.57879109,5,
20240101,100900130,1813,하림각,126.9622529,37.59781065,5,
20240101,100900129,1814,삼청공원삼거리.옥호정터,126.9817445,37.58741852,5,
20240101,100900128,1815,이화사거리,127.0022813,37.57532007,5,
20240101,100900127,1816,연화정사,126.9794938,37.614649,5,
20240101,100900126,1817,대신중고,126.9616893,37.57261781,5,
20240101,100900209,1818,동묘역.롯데캐슬,127.0157921,37.57402867,5,
20240101,100900125,1819,현대사거리,126.9866354,37.57924178,5,
20240101,100900215,1820,교남동주민센터,126.96128,37.5721523,5,
20240101,100900181,1821,부암동주민센터.무계원,126.9637682,37.59293534,5,
20240101,100900124,1823,형제봉입구,126.9816862,37.61286432,5,
20240101,100900123,1824,교남동새마을금고,126.9623375,37.57149436,5,
20240101,100900122,1825,창신초교,127.0157201,37.57603721,5,
20240101,100900168,1826,가회동주민센터,126.9851294,37.57994265,5,
